CWE-ID,Name,Weakness Abstraction,Status,Description,Extended Description,Related Weaknesses,Weakness Ordinalities,Applicable Platforms,Background Details,Alternate Terms,Modes Of Introduction,Exploitation Factors,Likelihood of Exploit,Common Consequences,Detection Methods,Potential Mitigations,Observed Examples,Functional Areas,Affected Resources,Taxonomy Mappings,Related Attack Patterns,Notes
365,"DEPRECATED: Race Condition in Switch",Base,Deprecated,"This entry has been deprecated. There are no documented cases in which a switch's control expression is evaluated more than once.","It is likely that this entry was initially created based on a misinterpretation of the original source material. The original source intended to explain how switches could be unpredictable when using threads, if the control expressions used data or variables that could change between execution of different threads. That weakness is already covered by CWE-367. Despite the ambiguity in the documentation for some languages and compilers, in practice, they all evaluate the switch control expression only once. If future languages state that the code explicitly evaluates the control expression more than once, then this would not be a weakness, but the language performing as designed.",,"",,"","","","",,"","","","",,,"",,"",
373,"DEPRECATED: State Synchronization Error",Base,Deprecated,"This entry was deprecated because it overlapped the same concepts as race condition (CWE-362) and Improper Synchronization (CWE-662).","",,"",,"","","","",,"","","","",,,"",,"",
423,"DEPRECATED: Proxied Trusted Channel",Base,Deprecated,"This entry has been deprecated because it was a duplicate of CWE-441. All content has been transferred to CWE-441.","",,"",,"","","","",,"","","","",,,"",,"",
443,"DEPRECATED: HTTP response splitting",Base,Deprecated,"This weakness can be found at CWE-113.","",,"",,"","","","",,"","","","",,,"",,"",
458,"DEPRECATED: Incorrect Initialization",Base,Deprecated,"This weakness has been deprecated because its name and description did not match. The description duplicated CWE-454, while the name suggested a more abstract initialization problem. Please refer to CWE-665 for the more abstract problem.","",,"",,"","","","",,"","","","",,,"",,"",
516,"DEPRECATED: Covert Timing Channel",Base,Deprecated,"This weakness can be found at CWE-385.","",,"",,"","","","",,"","","","",,,"",,"",
533,"DEPRECATED: Information Exposure Through Server Log Files",Variant,Deprecated,"This entry has been deprecated because its abstraction was too low-level. See CWE-532.","",,"",,"","","","",,"","","","",,,"",,"",
534,"DEPRECATED: Information Exposure Through Debug Log Files",Variant,Deprecated,"This entry has been deprecated because its abstraction was too low-level. See CWE-532.","",,"",,"","","","",,"","","","",,,"",,"",
542,"DEPRECATED: Information Exposure Through Cleanup Log Files",Variant,Deprecated,"This entry has been deprecated because its abstraction was too low-level. See CWE-532.","",,"",,"","","","",,"","","","",,,"",,"",
545,"DEPRECATED: Use of Dynamic Class Loading",Variant,Deprecated,"This weakness has been deprecated because it partially overlaps CWE-470, it describes legitimate programmer behavior, and other portions will need to be integrated into other entries.","",,"",,"","","","",,"","","","",,,"",,"",
592,"DEPRECATED: Authentication Bypass Issues",Class,Deprecated,"This weakness has been deprecated because it covered redundant concepts already described in CWE-287.","",,"",,"","","","",,"","","","",,,"",,"",
596,"DEPRECATED: Incorrect Semantic Object Comparison",Base,Deprecated,"This weakness has been deprecated. It was poorly described and difficult to distinguish from other entries. It was also inappropriate to assign a separate ID solely because of domain-specific considerations. Its closest equivalent is CWE-1023.","",,"",,"","","","",,"","","","",,,"",,"",
769,"DEPRECATED: Uncontrolled File Descriptor Consumption",Base,Deprecated,"This entry has been deprecated because it was a duplicate of CWE-774. All content has been transferred to CWE-774.","",,"",,"","","","",,"","","","",,,"",,"",
1187,"DEPRECATED: Use of Uninitialized Resource",Base,Deprecated,"This entry has been deprecated because it was a duplicate of CWE-908. All content has been transferred to CWE-908.","",,"",,"","","","",,"","","","",,,"",,"",
1324,"DEPRECATED: Sensitive Information Accessible by Physical Probing of JTAG Interface",Base,Deprecated,"This entry has been deprecated because it was at a lower level of abstraction than supported by CWE. All relevant content has been integrated into CWE-319.","",,"",,"","","","",,"","","","",,,"",,"",
